Iteration	Posterior	Likelihood	Prior	birth_rate	clock_rate	death_rate	denom	diversification	turnover
670	-46008.9	-45786.2	-222.68	0.5065148	0.0004758064	0.457436	0.09689507	0.04907879	0.9031049
680	-46011.5	-45787.3	-224.223	0.09264905	0.000485518	0.04357026	0.5297279	0.04907879	0.4702721
690	-46011.7	-45789.2	-222.515	0.1244814	0.0004704822	0.07540261	0.394266	0.04907879	0.605734
700	-46007.1	-45785.2	-221.96	0.3632797	0.0004697322	0.3142009	0.1350992	0.04907879	0.8649008
710	-46011.3	-45790.1	-221.257	0.2682883	0.0004713508	0.2192095	0.182933	0.04907879	0.817067
720	-46010.2	-45787.5	-222.709	0.2031268	0.0004836915	0.154048	0.2416165	0.04907879	0.7583835
730	-46012.1	-45789	-223.066	0.1569373	0.0004726056	0.1078585	0.3127287	0.04907879	0.6872713
740	-46011.9	-45789.7	-222.246	0.8551607	0.0004745506	0.8060819	0.05739131	0.04907879	0.9426087
750	-46007.8	-45786.3	-221.438	0.2402558	0.0004770907	0.1911771	0.2042772	0.04907879	0.7957228
760	-46010.3	-45788.8	-221.429	0.2175749	0.0004785613	0.1684961	0.2255719	0.04907879	0.7744281
770	-46009.7	-45786.2	-223.541	0.0921074	0.0004817794	0.04302861	0.5328431	0.04907879	0.4671569
780	-46020.6	-45798	-222.58	0.1290906	0.0004938816	0.08001177	0.3801888	0.04907879	0.6198112
790	-46010.4	-45787.9	-222.478	0.2184198	0.0004849439	0.169341	0.2246994	0.04907879	0.7753006
800	-46014.6	-45792.5	-222.171	0.3293064	0.0004812839	0.2802276	0.1490368	0.04907879	0.8509632
810	-46011.4	-45789.9	-221.57	0.32199	0.0004743125	0.2729112	0.1524233	0.04907879	0.8475767
820	-46007.4	-45786.6	-220.763	0.4817475	0.0004779051	0.4326687	0.1018766	0.04907879	0.8981234
830	-46017	-45795.5	-221.432	0.2034578	0.0004843472	0.154379	0.2412235	0.04907879	0.7587765
840	-46013.7	-45789.9	-223.89	0.09903052	0.0004837084	0.04995173	0.4955926	0.04907879	0.5044074
850	-46006.5	-45784.2	-222.203	0.3285326	0.0004738402	0.2794539	0.1493879	0.04907879	0.8506121
860	-46007.2	-45786	-221.12	0.3124315	0.0004738402	0.2633527	0.1570865	0.04907879	0.8429135
870	-46012.3	-45790.5	-221.83	0.2600067	0.0004925727	0.2109279	0.1887597	0.04907879	0.8112403
880	-46013.9	-45790.4	-223.53	0.188613	0.0004930812	0.1395342	0.2602089	0.04907879	0.7397911
890	-46007.9	-45784	-223.914	0.8256912	0.0004889155	0.7766124	0.05943964	0.04907879	0.9405604
900	-46007.9	-45785	-222.912	0.3484064	0.000477878	0.2993276	0.1408665	0.04907879	0.8591335
910	-46014.2	-45794	-220.13	0.4569335	0.0005012786	0.4078547	0.1074091	0.04907879	0.8925909
920	-46011.7	-45788.4	-223.314	0.1171681	0.0004787631	0.06808928	0.4188751	0.04907879	0.5811249
930	-46006.9	-45785.6	-221.324	0.4740072	0.0004726322	0.4249284	0.1035402	0.04907879	0.8964598
940	-46006.7	-45785.8	-220.902	0.2960088	0.0004849635	0.2469301	0.1658018	0.04907879	0.8341982
950	-46014.2	-45791.1	-223.04	0.1103361	0.000479152	0.06125733	0.4448116	0.04907879	0.5551884
960	-46005.3	-45783	-222.296	0.3776309	0.0004758603	0.3285521	0.129965	0.04907879	0.870035
970	-46013.5	-45792.1	-221.472	0.2359775	0.000476792	0.1868987	0.2079808	0.04907879	0.7920192
980	-46009.1	-45789.1	-219.97	0.2374445	0.000483125	0.1883657	0.2066958	0.04907879	0.7933042
990	-46014.4	-45793.9	-220.448	0.4380195	0.0004808506	0.3889407	0.112047	0.04907879	0.887953
1000	-46010.1	-45788.7	-221.401	0.2878883	0.0004748885	0.2388095	0.1704786	0.04907879	0.8295214
